#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0FB35
#Date Time: 2023-10-04 22:15:25.487
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.84767 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/1000

#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: DC
#Offset: 100 mV
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Triangle
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1.5 V
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 бу

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.003180810302674749,-0.004334867954145278,1.074107292205047,-4.334867954145277e-06
-0.00318018030267475,-0.0006491365386546238,1.077784561204524,-6.49136538654624e-07
-0.00317955030267475,-0.0006491365386529476,1.081461830204005,-6.491365386529476e-07
-0.003178920302674749,-0.0006491365386546236,1.088816368202965,-6.491365386546236e-07
-0.00317829030267475,-0.004334867954145278,1.092493637202442,-4.334867954145277e-06
-0.00317766030267475,-0.004334867954145278,1.092493637202442,-4.334867954145277e-06
-0.00317703030267475,0.00303659487683603,1.092493637202442,3.036594876836029e-06
-0.00317640030267475,0.003036594876839382,1.096170906201921,3.036594876839382e-06
-0.003175770302674749,0.003036594876839382,1.103525444200879,3.036594876839382e-06
-0.00317514030267475,-0.004334867954141925,1.099848175201402,-4.334867954141925e-06
-0.00317451030267475,-0.0006491365386529476,1.0998481752014,-6.491365386529476e-07
-0.003173880302674749,0.003036594876837706,1.11087998219984,3.036594876837706e-06
-0.00317325030267475,-0.0006491365386529476,1.118234520198794,-6.491365386529476e-07
-0.00317262030267475,-0.0006491365386529476,1.125589058197752,-6.491365386529476e-07
-0.003171990302674749,0.003036594876837706,1.125589058197754,3.036594876837706e-06
-0.00317136030267475,-0.0006491365386529476,1.129266327197231,-6.491365386529476e-07
-0.003170730302674749,-0.01170633078512994,1.129266327197231,-1.170633078512994e-05
-0.00317010030267475,-0.00433486795414863,1.136620865196186,-4.33486795414863e-06
-0.00316947030267475,0.006722326292331712,1.140298134195668,6.722326292331713e-06
-0.003168840302674749,0.00303659487683603,1.14029813419567,3.03659487683603e-06
-0.00316821030267475,-0.004334867954145278,1.143975403195147,-4.334867954145277e-06
-0.00316758030267475,-0.008020599369637609,1.143975403195147,-8.020599369637609e-06
-0.003166950302674749,-0.0006491365386546236,1.151329941194108,-6.491365386546236e-07
-0.00316632030267475,-0.004334867954145278,1.158684479193063,-4.334867954145277e-06
-0.003165690302674749,-0.0006491365386529476,1.162361748192541,-6.491365386529476e-07
-0.00316506030267475,0.003036594876837706,1.166039017192019,3.036594876837706e-06
-0.00316443030267475,0.003036594876839382,1.166039017192021,3.036594876839382e-06
-0.003163800302674749,0.003036594876839382,1.177070824190457,3.036594876839382e-06
-0.00316317030267475,0.003036594876839382,1.177070824190457,3.036594876839382e-06
-0.00316254030267475,0.003036594876839382,1.180748093189936,3.036594876839382e-06
-0.003161910302674749,0.00303659487683603,1.184425362189419,3.03659487683603e-06
-0.00316128030267475,-0.004334867954145278,1.191779900188373,-4.334867954145277e-06
-0.00316065030267475,-0.0006491365386529476,1.191779900188373,-6.491365386529476e-07
-0.00316002030267475,-0.0006491365386529476,1.19545716918785,-6.491365386529476e-07
-0.00315939030267475,-0.0006491365386529476,1.199134438187331,-6.491365386529476e-07
-0.003158760302674749,-0.0006491365386529476,1.20281170718681,-6.491365386529476e-07
-0.00315813030267475,-0.0006491365386529476,1.210166245185768,-6.491365386529476e-07
-0.00315750030267475,0.003036594876839382,1.213843514185247,3.036594876839382e-06
-0.003156870302674749,-0.0006491365386529476,1.217520783184728,-6.491365386529476e-07
-0.00315624030267475,-0.0006491365386529476,1.221198052184205,-6.491365386529476e-07
-0.00315561030267475,-0.004334867954145278,1.232229859182641,-4.334867954145277e-06
-0.00315498030267475,0.006722326292326684,1.232229859182641,6.722326292326684e-06
-0.00315435030267475,-0.0006491365386529476,1.235907128182121,-6.491365386529476e-07
-0.003153720302674749,-0.008020599369637609,1.232229859182641,-8.020599369637609e-06
-0.00315309030267475,0.003036594876839382,1.239584397181599,3.036594876839382e-06
-0.00315246030267475,0.01040805770782404,1.239584397181599,1.040805770782404e-05
-0.003151830302674749,0.006722326292326684,1.246938935180557,6.722326292326685e-06
-0.00315120030267475,-0.004334867954145278,1.246938935180557,-4.334867954145277e-06
-0.00315057030267475,-0.0006491365386529476,1.257970742178994,-6.491365386529476e-07
-0.00314994030267475,-0.004334867954143602,1.261648011178471,-4.334867954143601e-06
-0.00314931030267475,-0.0006491365386529476,1.261648011178473,-6.491365386529476e-07
-0.003148680302674749,-0.0006491365386529476,1.265325280177952,-6.491365386529476e-07
-0.00314805030267475,-0.004334867954143602,1.272679818176907,-4.334867954143601e-06
-0.00314742030267475,-0.0006491365386529476,1.276357087176389,-6.491365386529476e-07
-0.003146790302674749,-0.004334867954143602,1.280034356175868,-4.334867954143601e-06
-0.00314616030267475,-0.0006491365386529476,1.280034356175868,-6.491365386529476e-07
-0.00314553030267475,0.003036594876839382,1.287388894174826,3.036594876839382e-06
-0.00314490030267475,-0.0006491365386512714,1.291066163174303,-6.491365386512714e-07
-0.00314427030267475,-0.004334867954145278,1.294743432173783,-4.334867954145277e-06
