#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0FB35
#Date Time: 2023-10-04 23:25:26.508
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -4.59479 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 бу
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 1.5 V

Time (s),Channel 1 (V),Channel 2 (V)
0.0408190159042218,0.006722326292365234,1.499653334341227
0.0408196459042218,-0.0006491365386361867,1.498982667734817
0.0408202759042218,-0.0006491365386529476,1.498982667734815
0.04082090590422181,0.006722326292331712,1.498982667734818
0.04082153590422181,0.006722326292331712,1.499988667644423
0.0408221659042218,0.006722326292331712,1.49898266773482
0.0408227959042218,0.006722326292331712,1.499318001038019
0.04082342590422181,0.006722326292331712,1.501665334160447
0.04082405590422181,0.006722326292311599,1.498312001128409
0.04082468590422181,-0.0006491365386328347,1.498982667734817
0.0408253159042218,0.003036594876825974,1.499318001038018
0.0408259459042218,0.00672232629232836,1.49931800103802
0.04082657590422181,0.01040805770781399,1.499318001038019
0.04082720590422181,0.003036594876839382,1.498647334431612
0.0408278359042218,0.003036594876839382,1.498647334431612
0.0408284659042218,0.006722326292321655,1.499318001038018
0.0408290959042218,0.003036594876841059,1.498982667734816
0.04082972590422181,0.003036594876839382,1.49931800103802
0.04083035590422181,0.003036594876839382,1.49931800103802
0.0408309859042218,0.003036594876839382,1.49931800103802
0.0408316159042218,-0.0006491365386445671,1.498982667734816
0.0408322459042218,0.006722326292331712,1.498647334431612
0.04083287590422181,0.01040805770780728,1.49931800103802
0.04083350590422181,0.003036594876822622,1.499318001038018
0.0408341359042218,-0.0006491365386378629,1.498982667734817
0.0408347659042218,0.006722326292318304,1.498982667734815
0.04083539590422181,0.01040805770782069,1.498647334431612
0.04083602590422181,0.003036594876815917,1.498982667734819
0.04083665590422181,-0.004334867954125164,1.499988667644428
0.0408372859042218,-0.0006491365386646799,1.499988667644428
0.0408379159042218,0.006722326292325008,1.499988667644428
0.04083854590422181,0.01040805770781901,1.500324000947632
0.04083917590422181,0.006722326292304895,1.499988667644425
0.0408398059042218,-0.0006491365386160743,1.499318001038023
0.0408404359042218,0.003036594876829326,1.500659334250832
0.0408410659042218,-0.0006491365386512714,1.49931800103802
0.04084169590422181,-0.004334867954131869,1.500324000947633
0.04084232590422181,0.003036594876824298,1.500659334250833
0.0408429559042218,-0.0006491365386361867,1.499988667644431
0.0408435859042218,-0.0006491365386529476,1.499318001038021
0.0408442159042218,-0.0006491365386529476,1.49931800103802
0.04084484590422181,0.003036594876839382,1.499318001038021
0.04084547590422181,0.003036594876839382,1.499988667644429
0.0408461059042218,0.003036594876839382,1.500324000947631
0.0408467359042218,0.006722326292325009,1.499653334341225
0.04084736590422181,0.00303659487683603,1.498982667734816
0.04084799590422181,-0.0006491365386646802,1.499318001038021
0.04084862590422181,-0.004334867954145278,1.499653334341227
0.0408492559042218,-0.004334867954145278,1.50032400094763
0.0408498859042218,-0.0006491365386562999,1.499653334341224
0.04085051590422181,0.003036594876834354,1.49931800103802
0.04085114590422181,-0.0006491365386529476,1.499653334341224
0.0408517759042218,-0.0006491365386529476,1.499653334341224
0.0408524059042218,-0.0006491365386529476,1.498982667734817
0.0408530359042218,-0.0006491365386529476,1.499318001038019
0.04085366590422181,0.003036594876839382,1.498647334431612
0.04085429590422181,0.003036594876824298,1.498982667734815
0.0408549259042218,-0.0006491365386361867,1.498982667734815
0.0408555559042218,-0.004334867954136897,1.498982667734815
0.0408561859042218,-0.0006491365386529476,1.49931800103802
0.04085681590422181,-0.0006491365386428912,1.499653334341222
0.04085744590422181,0.003036594876839382,1.498982667734817
0.0408580759042218,0.003036594876839382,1.499318001038018
0.0408587059042218,-0.004334867954135221,1.49931800103802
0.04085933590422181,-0.004334867954145278,1.498982667734815
0.04085996590422181,-0.004334867954133545,1.498982667734814
0.04086059590422181,-0.0006491365386529476,1.498647334431615
0.0408612259042218,-0.0006491365386529476,1.499318001038017
0.0408618559042218,-0.0006491365386529476,1.500324000947631
0.04086248590422181,0.01040805770782404,1.499653334341222
0.04086311590422181,0.01040805770778382,1.498647334431614
0.0408637459042218,-0.0006491365385976385,1.499318001038016
0.0408643759042218,-0.0006491365386529476,1.49931800103802
0.0408650059042218,0.003036594876837706,1.499653334341223
0.04086563590422181,0.003036594876852791,1.499653334341222
0.04086626590422181,0.0104080577077637,1.498647334431616
0.0408668959042218,-0.004334867954078234,1.499653334341219
0.0408675259042218,-0.008020599369629228,1.49931800103802
0.0408681559042218,-0.004334867954141925,1.499318001038019
0.04086878590422181,0.003036594876839382,1.498982667734816
0.04086941590422181,0.003036594876802509,1.49931800103802
0.0408700459042218,-0.004334867954118461,1.49931800103802
0.0408706759042218,-0.004334867954145278,1.49931800103802
0.04087130590422181,-0.004334867954141925,1.499653334341224
0.04087193590422181,-0.0006491365386529476,1.500324000947632
0.04087256590422181,-0.0006491365386529476,1.500324000947625
0.0408731959042218,-0.0006491365386529476,1.49898266773482
0.0408738259042218,0.00303659487683603,1.501330000857242
